fa_numero|lf_numero|px_numero|pd_numero|lf_quantite|lf_montantht|lf_montantttc|update_time|update_user|pe_numero|ag_numero|fa_date|fa_reduction|fa_montantht|fa_montantttc|fa_accompte|fa_annotation|fa_libelle|update_time|update_user|de_numero|fa_numfact|so_numero
1417371|41327|||1|28.050930460333|28.64|02/10/2005 18:44:34.420997|jean|1015529|12|24/08/2004|0.00|28.05|28.64|0.00||ABONNEMENT AVENIR AQUITAIN|18/11/2005 18:43:59.686198|brice||2004002279|3
1416331|40710|||1|26.1802154750245|26.73|02/10/2005 18:44:34.420997|jean|1015227|12|14/03/2003|0.00|26.18|26.73|0.00||ABONNEMENT AVENIR AQUITAIN|18/11/2005 18:43:59.686198|brice||2003001357|3
1416332|40711|||1|26.1802154750245|26.73|02/10/2005 18:44:34.420997|jean|1015179|12|14/03/2003|0.00|26.18|26.73|0.00||ABONNEMENT AVENIR AQUITAIN|18/11/2005 18:43:59.686198|brice||2003001358|3
1416333|40712|||1|26.1802154750245|26.73|02/10/2005 18:44:34.420997|jean|1015078|12|14/03/2003|0.00|26.18|26.73|0.00||ABONNEMENT AVENIR AQUITAIN|18/11/2005 18:43:59.686198|brice||2003001360|3
1416334|40713|||1|26.1802154750245|26.73|02/10/2005 18:44:34.420997|jean|1016077|12|14/03/2003|0.00|26.18|26.73|0.00||ABONNEMENT AVENIR AQUITAIN|18/11/2005 18:43:59.686198|brice||2003001361|3
1416335|40714|||1|26.1802154750245|26.73|02/10/2005 18:44:34.420997|jean|1016078|12|14/03/2003|0.00|26.18|26.73|0.00||ABONNEMENT AVENIR AQUITAIN|18/11/2005 18:43:59.686198|brice||2003001362|3
1414922|39770|||1|3.12438785504407|3.19|02/10/2005 18:44:34.420997|jean|1015073|12|27/11/2001|0.00|3.12|3.19|0.00||ABONNEMENT AVENIR AQUITAIN|18/11/2005 18:43:59.686198|brice||2001002603|3
1415056|39863|||1|24.309500489716|24.82|02/10/2005 18:44:34.420997|jean|1004704|12|01/03/2002|0.00|24.30|24.82|0.00||ABONNEMENT AVENIR AQUITAIN|18/11/2005 18:43:59.686198|brice||2002001004|3
1415268|39976|||1|21.4103819784525|21.86|02/10/2005 18:44:34.420997|jean|1015396|12|12/04/2002|0.00|21.41|21.86|0.00||ABONNEMENT AVENIR AQUITAIN|18/11/2005 18:43:59.686198|brice||2002001609|3
1411453|36623|||1|21.3809990205681|21.83|02/10/2005 18:44:34.420997|jean|1011629|12|16/05/2000|0.00|21.38|21.83|0.00||ABONNEMENT AVENIR AQUITAIN|18/11/2005 18:43:59.686198|brice||2000001837|3
